Year,Access_Electricity,Agriculture_GDP,Battle_Deaths,CO2_Emissions,Education_Expenditure,Exports_GDP,FDI_Inflows_GDP,GDP_Growth,GDP_USD,Health_Expenditure,Imports_GDP,Industry_GDP,Inflation,Internet_Usage,Life_Expectancy,Manufacturing_GDP,Mobile_Subscriptions,Oil_Rents,Population,Population_Growth,Services_GDP,Unemployment,Trade_Balance_GDP,Trade_Openness,Industry_Non_Mfg_GDP,GDP_Growth_Lag1,Inflation_Lag1,Oil_Rents_Lag1,GDP_Growth_Roll3,Inflation_Roll3,Log_GDP_USD,Log_Population,Log_CO2_Emissions
1962-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,19.79387268,1.64736418,-19.68504183,2001444544.0,3.48903275,20.81864668,44.239049,6.599999999,0.0,39.323,34.47905286,0.0,7.161900127,11778260.0,1.537036842,38.97849977,20.6,-1.0247740000000007,40.61251936,9.759996139999998,-13.60544132,6.599999999,7.161900127,-15.631974823333332,6.599999999,21.417135029293103,16.281766102200372,11.049903804952143
1963-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,24.68468205,1.64736418,34.31372878,2702982018.0,3.48903275,36.82551514,44.239049,6.599999999,0.0,42.908,34.47905286,0.0,7.161900127,11969451.0,1.610219452,38.97849977,20.6,-12.140833090000001,61.51019719,9.759996139999998,-19.68504183,6.599999999,7.161900127,0.3410818766666637,6.599999999,21.717621451980342,16.297868295366705,11.049903804952143
1964-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,25.08405873,1.64736418,5.839413008,2909316435.0,3.48903275,29.43976253,44.239049,6.599999999,0.0,42.788,34.47905286,0.0,7.161900127,12179099.0,1.736363196,38.97849977,20.6,-4.355703800000001,54.52382126,9.759996139999998,34.31372878,6.599999999,7.161900127,6.822699985999999,6.599999999,21.79118398881787,16.315231925890288,11.049903804952143
1965-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,22.60394356,1.64736418,6.206898211,3136284307.0,3.48903275,25.83307835,44.239049,6.599999999,0.0,42.714,34.47905286,0.0,7.161900127,12381256.0,1.646243025,38.97849977,20.6,-3.22913479,48.43702191,9.759996139999998,5.839413008,6.599999999,7.161900127,15.453346666333333,6.599999999,21.866304594764028,16.331694354799865,11.049903804952143
1966-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,25.98619752,1.64736418,-4.804970943,3039859187.0,3.48903275,24.653572,44.239049,6.599999999,0.0,42.543,34.47905286,0.0,7.161900127,12613389.0,1.857515276,38.97849977,20.6,1.3326255200000006,50.63976952,9.759996139999998,6.206898211,6.599999999,7.161900127,2.413780091999998,6.599999999,21.835077031554906,16.350269506070173,11.049903804952143
1967-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,23.43441677,1.64736418,9.452962563,3370870376.0,3.48903275,21.63176932,44.239049,6.599999999,0.0,42.568,34.47905286,0.0,7.161900127,12897115.0,2.224477412,38.97849977,20.6,1.8026474499999985,45.06618609,9.759996139999998,-4.804970943,6.599999999,7.161900127,3.6182966103333314,6.599999999,21.938436820071008,16.37251427844585,11.049903804952143
1968-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,23.1356346,1.64736418,10.79623857,3852147027.0,3.48903275,24.18725436,44.239049,6.599999999,0.0,42.642,34.47905286,0.0,7.161900127,13190975.0,2.252924069,38.97849977,20.6,-1.0516197600000012,47.32288896,9.759996139999998,9.452962563,6.599999999,7.161900127,5.148076729999998,6.599999999,22.07189649941658,16.395043517407068,11.049903804952143
1969-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,23.78877682,1.64736418,8.433280282,4257253264.0,3.48903275,28.07075808,44.239049,6.599999999,0.0,42.781,34.47905286,0.0,7.161900127,13491016.0,2.24910988,38.97849977,20.6,-4.281981260000002,51.8595349,9.759996139999998,10.79623857,6.599999999,7.161900127,9.56082713833333,6.599999999,22.1718900157977,16.417534614519486,11.049903804952143
1970-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,22.0727334,1.64736418,8.86265711,4863526897.0,3.48903275,29.15266841,44.239049,6.599999999,0.0,43.16,34.47905286,0.0,7.161900127,13795915.0,2.234855142,38.97849977,20.6,-7.07993501,51.22540181,9.759996139999998,8.433280282,6.599999999,7.161900127,9.364058653999997,6.599999999,22.305029710843446,16.439883164298962,11.049903804952143
1971-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,18.44251915,0.011817577,-11.33171917,5077183094.0,3.48903275,27.66377753,44.239049,2.626641651,0.0,43.67,34.47905286,0.0,6.990977527,14110271.0,2.253043807,38.97849977,20.6,-9.221258380000002,46.10629668,9.759996139999998,8.86265711,6.599999999,7.161900127,1.9880727406666647,5.275547216333333,22.34802243588164,16.462413600751628,11.049903804952143
1972-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,20.44956198,0.613145706,27.42396948,6766743957.0,3.48903275,25.7268683,44.239049,3.65630713,0.0,44.346,34.47905286,0.0,9.013899984,14439748.0,2.308170987,38.97849977,20.6,-5.277306320000001,46.17643028,9.759996139999998,-11.33171917,2.626641651,6.990977527,8.31830247333333,4.2943162599999996,22.63528585662534,16.485495309006414,11.049903804952143
1973-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,25.503663,0.58567784,3.813176296,8707858912.0,3.48903275,31.58976353,44.239049,6.172839506,0.0,45.079,34.47905286,0.0,10.8416352,14786469.0,2.372782404,38.97849977,20.6,-6.0861005299999995,57.09342653,9.759996139999998,27.42396948,3.65630713,9.013899984,6.635142201999997,4.151929429,22.887491778189297,16.50922313141937,11.049903804952143
1974-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,38.74904361,2.710094467,7.494917705,13209871626.0,3.48903275,35.48977562,44.239049,4.699612403,0.0,46.034,34.47905286,0.0,27.71992279,15153602.0,2.452575365,38.97849977,20.6,3.259267989999998,74.23881923,9.759996139999998,3.813176296,6.172839506,10.8416352,12.910687826999997,4.842919679666667,23.304230237568174,16.533748883426714,11.049903804952143
1975-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,33.68893622,0.764884586,5.045341613,15557902754.0,3.48903275,42.96559919,44.239049,8.230316653,0.0,46.972,34.47905286,0.0,22.63327257,15724692.0,3.699395628,38.97849977,20.6,-9.276662969999997,76.65453541,9.759996139999998,7.494917705,4.699612403,27.71992279,5.4511452046666635,6.367589520666667,23.467834562229392,16.570742837307737,11.049903804952143
1976-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,33.05458393,1.054814184,8.386756484,17728240932.0,3.48903275,37.11867296,44.239049,9.430735402,0.0,47.985,34.47905286,0.0,23.71997373,16500516.0,4.81594374,38.97849977,20.6,-4.064089029999998,70.17325689,9.759996139999998,5.045341613,8.230316653,22.63327257,6.9756719339999975,7.453554819333334,23.598424737953682,16.618902271713264,11.049903804952143
1977-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,30.58656693,0.850904441,5.258585986,20972113685.0,3.48903275,41.7403173,44.239049,11.98928332,0.0,49.191,34.47905286,0.0,23.16413925,17134192.0,3.768434612,38.97849977,20.6,-11.153750370000001,72.32688423,9.759996139999998,8.386756484,9.430735402,23.71997373,6.230228027666665,9.883445125,23.766459472488847,16.65658661559583,11.049903804952143
